,Portfolio,Nifty 200
11-06-2021,1000000,1000000
30-06-2021,1008000,9952000
31-07-2021,1044187,1036592
31-08-2021,1109156,1078333
30-09-2021,1104582,1113954
31-10-2021,1112761,1162345
30-11-2021,1056464,1071755
31-12-2021,1080605,1101462
31-01-2022,1071470,1097278
28-02-2022,1029135,1058463
31-03-2022,1051609,1100479
30-04-2022,1020894,1094833
31-05-2022,9896405,1043373
30-06-2022,9821193,9909798
31-07-2022,1718850,1086129
31-08-2022,1113656,1133891
30-09-2022,1093660,1034262
31-10-2022,11327329,1140809
30-11-2022,11745307,1180835
